Date,Gold_close,Silver_close,Index
2015-04-01,1184.5,16.15,99.5628
2015-05-01,1190.22,16.73,98.7656
2015-06-01,1172.36,15.7295,99.5514
2015-07-01,1095.23,14.74,101.367
2015-08-01,1134.6,14.63,103.0026
2015-09-01,1115.34,14.54,103.596
2015-10-01,1142.22,15.56,102.6342
2015-11-01,1064.66,14.0815,104.3386
2015-12-01,1061.46,13.8425,105.1359
2016-01-01,1117.69,14.27,107.4267
2016-02-01,1238.86,14.9,106.1005
2016-03-01,1232.95,15.44,103.9545
2016-04-01,1293.03,17.82,102.4764
2016-05-01,1215.74,16.0,103.5461
2016-06-01,1321.94,18.71,103.9954
2016-07-01,1352.15,20.37,104.6676
2016-08-01,1308.88,18.65,103.849
2016-09-01,1317.57,19.1805,104.7264
2016-10-01,1276.66,17.89,105.8013
2016-11-01,1173.32,16.51,108.2172
2016-12-01,1150.91,15.95,109.9316
2017-01-01,1210.61,17.56,109.7745
2017-02-01,1248.89,18.31,108.2687
2017-03-01,1247.31,18.21,107.6269
2017-04-01,1268.16,17.23,106.625
2017-05-01,1268.58,17.34,105.988
2017-06-01,1241.38,16.62,104.5784
2017-07-01,1269.4,16.8305,102.8525
2017-08-01,1320.64,17.58,101.9009
2017-09-01,1280.59,16.66,101.2642
2017-10-01,1271.31,16.71,103.0674
2017-11-01,1274.87,16.4375,103.2301
2017-12-01,1303.33,16.9545,102.9124
2018-01-01,1345.13,17.3425,100.7584
2018-02-01,1318.23,16.414,100.1799
2018-03-01,1325.43,16.36,100.396
2018-04-01,1315.93,16.33,100.5209
2018-05-01,1298.46,16.4225,103.4995
2018-06-01,1252.55,16.0925,105.0474
2018-07-01,1222.92,15.51,105.0286
2018-08-01,1199.52,14.51,105.6106
2018-09-01,1191.96,14.63,105.8236
2018-10-01,1215.37,14.2655,106.5451
2018-11-01,1222.13,14.18,107.7029
2018-12-01,1282.56,15.4935,107.7419
2019-01-01,1321.37,16.0685,106.0257
2019-02-01,1312.45,15.63,106.1323
2019-03-01,1292.3,15.1395,106.5481
2019-04-01,1283.48,14.94,106.6624
2019-05-01,1305.87,14.58,107.427
2019-06-01,1411.07,15.31,106.8046
2019-07-01,1413.73,16.27,106.557
2019-08-01,1523.72,18.34,108.3684
2019-09-01,1472.72,16.99,108.5553
2019-10-01,1513.17,18.12,108.0202
2019-11-01,1464.02,17.019,107.8612
2019-12-01,1517.305,17.853,107.1906
2020-01-01,1586.88,18.0315,106.5718
2020-02-01,1577.4,16.62,107.8564
2020-03-01,1575.15,13.978,111.8
2020-04-01,1686.855,14.961,113.4187
2020-05-01,1731.5,17.86,112.7266
2020-06-01,1780.96,18.2,110.0887
2020-07-01,1974.2,24.32,109.4938
2020-08-01,1967.82,28.14,108.1881
2020-09-01,1885.8,23.23,107.7845
2020-10-01,1878.38,23.65,107.2415
2020-11-01,1776.77,22.63,105.9156
2020-12-01,1898.705,26.389,103.9358
2021-01-01,1842.81,26.91,103.1925
2021-02-01,1727.48,26.55,103.9087
2021-03-01,1707.65,24.416,105.3764
2021-04-01,1767.94,25.87,105.211
2021-05-01,1906.75,28.0395,104.2302
2021-06-01,1770.21,26.138,105.1439
2021-07-01,1813.91,25.48,106.6624
2021-08-01,1813.47,23.8915,106.9633
2021-09-01,1756.895,22.1755,107.115
2021-10-01,1782.82,23.8785,108.0273
2021-11-01,1774.96,22.8385,109.1611
2021-12-01,1829.5,23.2665,110.3058
2022-01-01,1797.35,22.4685,109.6211
2022-02-01,1908.82,24.4525,109.7777
2022-03-01,1937.27,24.7925,111.0311
2022-04-01,1896.395,22.7695,111.6713
2022-05-01,1837.635,21.5595,114.2706
2022-06-01,1807.215,20.2755,115.231
2022-07-01,1761.035,20.2695,117.2462
2022-08-01,1711.145,17.9945,116.6653
2022-09-01,1661.815,19.0195,119.5125
2022-10-01,1632.755,19.1505,121.0698
2022-11-01,1768.615,22.1925,118.5553
2022-12-01,1823.48,23.935,116.0265
2023-01-01,1928.28,23.733,113.9178
